名称,微信号,参考粉丝数,阅读数,是否是原创,新榜指数,微信id,微信认证
吴晓波频道,wuxiaobopd,3130109,86977,1,901.13,7E5B5029EE71251610F0087B82D69FD1,微信认证：杭州巴九灵文化创意股份有限公司
时寒冰,shihanbing2016,0,86705,1,874.42,59A884625403966F6C4C584BFC78EB09,
口袋零钱,koudailingqian,93851,85882,0,848.97,409DA23945A69F8EB8394A0AE3D3D43E,微信认证：广州掌金信息科技有限公司
益盟好股,yimenghaogu,494061,83263,1,880.12,328244E28779D1AA27C36F88F0D5EBA6,微信认证：上海益盟软件技术股份有限公司
天天逗事,ttdoushi,4150000,82669,1,870.55,D8EE0944A35514DD631245BA5B28B9F9,微信认证：广州川上文化传媒有限公司
哈皮娱乐,HappyGossip,52108,81065,1,817.12,28676BC6E8AE0BB9E504C57532E10D1A,微信认证：广州市橙点网络科技有限公司
午夜超人,wuyechaoren0,95018,80132,1,840.39,478F2BA11EB3EAE825F75F166E673607,微信认证：汕头市午夜超人贸易有限公司
八卦小特工,Gossip100,632905,80051,1,792.91,CCF92399189AFAB3D75CBE605D80C9AA,
功夫财经,kongfuf,1000000,79256,1,883.37,696C1FB88A79178655B330361BC618CD,微信认证：北京牧澜文化传播有限公司
安兔兔,AnTuTu_Benchmark,1935519,78731,1,897.11,0D4A8BA2906E9766149B5D05D8A13AF5,微信认证：北京安兔兔科技有限公司
包你说,baonishuo,1600000,76359,0,869.37,01F772C63C16E2B462FC723D0FCFDA87,
正和岛,zhenghedao,1350000,75382,1,887.43,5BB6EC37E0CFE6A0A9E6F7CD2D1555CC,微信认证：北京正和岛信息科技有限公司
青年文摘,qnwzwx,1495010,74516,1,892.01,A4259E149CE5ABA4ACA48E6AB7568BF4,微信认证：中国青年出版社
Dispatch,DispatchDaily,1500000,69632,1,901.57,E97544715032168D7524347A046A829F,微信认证：星团(厦门)文化有限公司
金融五道口,Fivecrossing,400000,68369,1,885.39,394D645DBB74965B83409749358ACBCD,
中国经济网,ourcecn,1600000,65998,1,992.08,AD2F0347A853707F886DD888B3143EBC,微信认证：北京中经网联合信息咨询有限公司
智谷趋势,zgtrend,982514,65788,1,886.57,3D9355D56A8EDB5804BD570D94D08434,微信认证：广州智谷趋势数据服务有限公司
全是黑科技,keji3000,700000,65770,1,886.84,08FCCA3B01B43BCC555033ACFD060E8F,微信认证：北京创客互动科技有限公司
中石化森美福建,SinopecSenMei,288136,63938,0,844.12,F1C263AD3115C57F01B35D8E35F7C040,微信认证：中石化森美(福建)石油有限公司
广发证券,gf95575,330790,62028,1,852.76,44FF7C1A8ECE8283F5AEE6694AD9EE52,微信认证：广发证券股份有限公司
华尔街见闻,wallstreetcn,1500000,59601,1,876.22,0E34444173BA155BE1F4F933C391B0EE,微信认证：上海阿牛信息科技有限公司
